profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
A,Linear,0x3333,0x0000,0x0000,0x0000,0,117,0,117.0,47,0,47.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,1,234,0,234.0,94,0,94.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,2,352,0,352.0,141,0,141.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,3,469,0,469.0,188,0,188.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,4,586,0,586.0,234,0,234.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,5,703,0,703.0,281,0,281.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,6,820,0,820.0,328,0,328.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,7,938,0,938.0,375,0,375.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,8,1055,0,1055.0,422,0,422.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,9,1172,0,1172.0,469,0,469.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,10,1289,0,1289.0,516,0,516.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,11,1406,0,1406.0,562,0,562.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,12,1523,0,1523.0,609,0,609.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,13,1641,0,1641.0,656,0,656.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,14,1758,0,1758.0,703,0,703.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,15,1875,0,1875.0,750,0,750.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,16,1992,0,1992.0,797,0,797.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,17,2109,0,2109.0,844,0,844.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,18,2227,0,2227.0,891,0,891.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,19,2344,0,2344.0,938,0,938.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,20,2461,0,2461.0,984,0,984.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,21,2578,0,2578.0,1031,0,1031.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,22,2695,0,2695.0,1078,0,1078.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,23,2812,0,2812.0,1125,0,1125.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,24,2930,0,2930.0,1172,0,1172.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,25,3047,0,3047.0,1219,0,1219.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,26,3164,0,3164.0,1266,0,1266.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,27,3281,0,3281.0,1312,0,1312.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,28,3398,0,3398.0,1359,0,1359.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,29,3516,0,3516.0,1406,0,1406.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,30,3633,0,3633.0,1453,0,1453.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,31,3750,0,3750.0,1500,0,1500.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,32,3867,0,3867.0,1547,0,1547.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,33,3984,0,3984.0,1594,0,1594.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,34,4102,0,4102.0,1641,0,1641.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,35,4219,0,4219.0,1688,0,1688.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,36,4336,0,4336.0,1734,0,1734.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,37,4453,0,4453.0,1781,0,1781.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,38,4570,0,4570.0,1828,0,1828.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,39,4688,0,4688.0,1875,0,1875.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,40,4805,0,4805.0,1922,0,1922.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,41,4922,0,4922.0,1969,0,1969.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,42,5039,0,5039.0,2016,0,2016.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,43,5156,0,5156.0,2062,0,2062.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,44,5273,0,5273.0,2109,0,2109.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,45,5391,0,5391.0,2156,0,2156.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,46,5508,0,5508.0,2203,0,2203.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,47,5625,0,5625.0,2250,0,2250.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,48,5742,0,5742.0,2297,0,2297.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,49,5859,0,5859.0,2344,0,2344.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,50,5977,0,5977.0,2391,0,2391.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,51,6094,0,6094.0,2438,0,2438.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,52,6211,0,6211.0,2484,0,2484.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,53,6328,0,6328.0,2531,0,2531.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,54,6445,0,6445.0,2578,0,2578.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,55,6562,0,6562.0,2625,0,2625.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,56,6680,0,6680.0,2672,0,2672.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,57,6797,0,6797.0,2719,0,2719.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,58,6914,0,6914.0,2766,0,2766.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,59,7031,0,7031.0,2812,0,2812.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,60,7148,0,7148.0,2859,0,2859.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,61,7266,0,7266.0,2906,0,2906.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,62,7383,0,7383.0,2953,0,2953.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,63,7500,0,7500.0,3000,0,3000.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,64,7617,0,7617.0,3047,0,3047.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,65,7734,0,7734.0,3094,0,3094.0,0.0
A,Linear,0x3333,0x0000,0x0000,0x0000,66,7852,0,7852.0,3141,0,3141.0,0.0
